2023-04-26 00:53:48,534 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2053, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:49,123 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:49,809 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/../../about/annualreport/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:50,378 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:50,945 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/community/news/view_news.php?id=2055, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:51,514 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/community/news/view_news.php?id=2053, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:52,083 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/search/search_graduate_all.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:52,651 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/search/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:53,233 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/ugrad/sao/SAO_Events.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:53,806 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/ugrad/degrees/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:54,374 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/grad/admissions/Prospective_ApplicationProcess.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:54,943 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/about_contact.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:55,513 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/visit/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:56,081 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/brenhall/index.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:56,651 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/about_factsfigures.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:57,219 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2054/about/about_deanmsg.php, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:57,788 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2055, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:58,342 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2056, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:58,904 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2057, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:53:59,462 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2058, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:54:00,023 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2059, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:54:00,581 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2060, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:54:01,135 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2061, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:54:01,691 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2062, status <200>, using cache ('styx.ics.uci.edu', 9004).
2023-04-26 00:54:02,251 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/news/view_news?id=2063, status <200>, using cache ('styx.ics.uci.edu', 9004).
